question,market_id,side
will josé antonio kast win the chilean presidential election?,541622,yes
will trump create a tariff dividend in 2025?,620339,no
will jeannette jara win the chilean presidential election?,541615,no
will atrium academy win 2025 uniswap cup?,670382,no
will morpho win 2025 uniswap cup?,670395,no
will johannes kaiser win the chilean presidential election?,541621,no
will wormhole win 2025 uniswap cup?,670403,no
will zksync win 2025 uniswap cup?,670404,no
will bungee win 2025 uniswap cup?,670385,no
will arbitrum win 2025 uniswap cup?,670381,yes
will aave win 2025 uniswap cup?,670377,yes
backpack fdv above $3b one day after launch?,679711,no
Based FDV above $3B one day after launch?,675032,no
